Function,Blocks,Edges,CyclomaticComplexity
write_str<alloc::vec::Vec<u8,_alloc::alloc::Global>>,3,5,4
write_str<std::io::cursor::Cursor<&mut_[u8]>>,5,8,5
write_str<std::sys::stdio::unix::Stderr>,17,29,14
fmt,1,2,3
to_vec<u8,_alloc::alloc::Global>,5,10,7
fmt,3,6,5
get,1,0,1
as_str,1,0,1
take_box,3,5,4
next_back,71,125,56
get,5,6,3
take_box,7,11,6
fmt,19,33,16
exception_cleanup,3,5,4
drop_in_place<panic_unwind::imp::Exception>,5,7,4
drop_in_place<alloc::boxed::Box<panic_unwind::imp::Exception,_alloc::alloc::Global>>,5,9,6
read_bytes_at_until,5,7,4
detect,27,34,9
find_sse2,27,34,9
drop_in_place<alloc::string::String>,3,5,4
starts_with,3,3,2
do_reserve_and_handle,3,5,4
has_backward_slash_root,10,15,7
find_location,23,35,14
path_push,25,47,24
get,13,16,5
entry,13,15,4
insert_entry,6,9,5
push_with_handle,4,4,2
push,7,8,3
new_internal,4,5,3
split_leaf_data,4,6,4
split,3,4,3
insert_fit,4,6,4
insert_recursing,14,22,10
insert,13,20,9
split,11,18,9
insert_fit,9,15,8
insert,16,24,10
new_uninit_in,3,6,5
new_uninit_in,3,6,5
grow_one,3,5,4
grow_one,3,5,4
deallocate,8,12,6
finish_grow,18,28,12
grow_amortized,7,9,4
try_allocate_in,13,19,8
push,15,26,13
new,4,4,2
insert,13,24,13
drop,1,0,1
deref,6,8,4
drop,1,2,3
next,33,57,26
try_demangle,4,5,3
try_parse_uint,18,26,10
basic_type,3,2,1
integer_62,19,28,11
hex_nibbles,13,21,10
opt_integer_62,11,15,6
ident,48,79,33
backref,9,12,5
namespace,6,7,3
print_path,110,231,123
print_type,86,186,102
print_const,114,241,129
print_backref,11,20,11
print_backref,11,20,11
print_backref,11,20,11
print_sep_list,14,23,11
print_sep_list,40,76,38
print_sep_list,31,59,30
print_sep_list,15,24,11
print_sep_list,25,45,22
print_sep_list,15,24,11
print_const_uint,20,41,23
skipping_printing,3,5,4
print_const_str_literal,55,100,47
print_lifetime_from_index,14,26,14
print_quoted_escaped_chars,38,63,27
print_path_maybe_open_generics,19,36,19
in_binder,24,46,24
in_binder,23,46,25
print_pat,36,70,36
demangle,202,319,119
fmt,1,2,3
fmt,1,2,3
fmt,5,10,7
fmt,1,2,3
fmt,1,2,3
fmt,1,2,3
fmt,4,8,6
write_char,8,11,5
write_fmt,1,2,3
trim_start_matches,6,9,5
next,24,38,16
escape_unicode,1,0,1
fmt,1,2,3
fmt,1,2,3
fmt,14,24,12
fmt,58,99,43
fmt,1,1,2
fmt,3,5,4
fmt,1,2,3
fmt,221,364,145
next,66,103,39
count,3,6,5
write_str,3,4,3
decompress,331,533,204
apply_match,31,52,23
decompress_fast,68,100,34
transfer,68,109,43
init_tree,56,86,32
copy_within,3,7,6
range,9,13,6
write_slice,16,24,10
fmt,1,2,3
fmt,1,2,3
write_fmt<alloc::string::String>,1,2,3
drop_in_place<alloc::string::String>,3,4,3
fmt,1,2,3
write_char,13,20,9
write_str,3,5,4
format_inner,25,38,15
handle_alloc_error,1,1,2
try_reserve,8,10,4
from_utf8_lossy,30,52,24
handle_error,3,6,5
capacity_overflow,1,1,2
finish_grow<alloc::alloc::Global>,11,18,9
do_reserve_and_handle<alloc::alloc::Global>,5,8,5
spec_new_impl,19,33,16
from,9,14,7
fmt,63,104,43
fmt,7,11,6
fmt<u64>,10,15,7
fmt<dyn_core::fmt::Debug>,1,0,1
fmt,1,2,3
fmt,10,13,5
fmt<str>,1,2,3
from_bytes_with_nul,25,35,12
pointer_fmt_inner,7,10,5
fmt,5,7,4
fmt,1,2,3
fmt,1,2,3
fmt,1,2,3
fmt,10,15,7
fmt,3,4,3
fmt,3,4,3
fmt,3,4,3
fmt,3,4,3
fmt,3,4,3
write_fmt<core::fmt::builders::PadAdapter>,1,2,3
float_to_decimal_common_exact<f32>,1,0,1
float_to_decimal_common_shortest<f32>,1,0,1
fmt,3,4,3
write,33,49,18
field,14,26,14
entry,11,18,9
finish,3,3,2
debug_list,1,0,1
write_prefix,6,7,3
pad_integral,49,80,33
pad_formatted_parts,36,54,20
write_formatted_parts,31,49,20
debug_tuple_field1_finish,14,24,12
debug_struct_field1_finish,7,9,4
pad,53,78,27
write_str,1,0,1
mul_digits,36,56,22
mul_pow2,26,43,19
left_shift,38,63,27
right_shift,35,53,20
round,28,43,17
parse_decimal_seq,79,125,48
parse_number,79,124,47
from_str,98,161,65
compute_float<f64>,15,17,4
digits_to_dec_str,17,25,10
possibly_round,26,42,18
format_exact_opt,39,65,28
format_shortest_opt,79,134,57
format_exact,227,386,161
format_shortest,237,408,173
mul_pow10,60,104,46
slice_error_fail,1,1,2
slice_error_fail_rt,41,66,27
do_count_chars,47,72,27
char_count_general_case,10,13,5
new,74,117,45
from_utf8,54,88,36
panic_already_borrowed,1,1,2
escape_debug_ext,22,36,16
len_mismatch_fail,1,2,3
panic_on_ord_violation,1,1,2
sqrt_approx,1,0,1
slice_index_fail,6,11,7
memchr_aligned,17,24,9
memrchr,18,27,11
expect_failed,1,1,2
unwrap_failed,1,1,2
unwrap_failed,1,1,2
lookup_slow,9,14,7
is_printable,46,77,33
panic_const_div_by_zero,1,1,2
panic_const_rem_by_zero,1,2,3
assert_failed<u64,_u64>,1,1,2
panic_nounwind,1,2,3
panic_in_cleanup,1,2,3
panic_bounds_check,1,1,2
panic_nounwind_fmt,2,2,2
assert_failed_inner,3,6,5
panic_cannot_unwind,1,1,2
panic_nounwind_nobacktrace,1,1,2
panic,1,1,2
panic_fmt,1,1,2
write_char,1,0,1
fmt,1,2,3
fmt,57,95,40
fmt,1,2,3
write_char,4,4,2
write_str,42,64,24
fmt,1,2,3
fmt<usize>,4,6,4
fmt,3,6,5
next,34,55,23
_fini,1,0,1
FUN_0025cb60,1,1,2
flock,1,2,3
write,1,2,3
ioctl,1,2,3
close,1,2,3
flock,0,0,2
write,0,0,2
ioctl,0,0,2
close,0,0,2
malloc,0,0,2
posix_memalign,0,0,2
free,0,0,2
realloc,0,0,2
memcpy,0,0,2
calloc,0,0,2
memset,0,0,2
strlen,0,0,2
memmove,0,0,2
munmap,0,0,2
bcmp,0,0,2
fstat64,0,0,2
mmap64,0,0,2
dl_iterate_phdr,0,0,2
lseek64,0,0,2
fcntl,0,0,2
read,0,0,2
writev,0,0,2
syscall,0,0,2
poll,0,0,2
open64,0,0,2
dup,0,0,2
abort,0,0,2
signal,0,0,2
sysconf,0,0,2
pthread_self,0,0,2
pthread_getattr_np,0,0,2
pthread_attr_getstack,0,0,2
pthread_attr_destroy,0,0,2
sigaction,0,0,2
pause,0,0,2
getcwd,0,0,2
pthread_key_create,0,0,2
pthread_key_delete,0,0,2
pthread_setspecific,0,0,2
realpath,0,0,2
readlink,0,0,2
statx,0,0,2
stat64,0,0,2
getenv,0,0,2
gettid,0,0,2
getauxval,0,0,2
sigaltstack,0,0,2
pthread_attr_getguardsize,0,0,2
mprotect,0,0,2
exit,0,0,2
nanosleep,0,0,2
